Number,from bus,to bus,if this branch is existing,Max Flow,Susceptance,Distance (mile)
0,0,1,1,3200,97847.35812,0
1,0,24,0,2581,19184,22.4
2,0,14,0,2580.1,19062.9,22.4
3,0,15,0,2580.1,19062.9,22.4
4,0,16,0,2580.1,19062.9,22.4
5,1,15,1,2208.42,18960.94046,22.4264432
6,1,25,1,2396.03,17882.68956,22.38648615
7,1,24,0,2581,19184,22.4
8,2,3,1,3200,99601.59363,0
9,2,4,1,3200,84674.00508,0
10,2,30,0,2830.8,51409.2,11.8
11,2,31,0,2830.8,51409.2,11.8
12,2,32,0,2830.8,51409.2,11.8
13,3,30,0,2830.8,51409.2,11.8
14,4,10,1,2404.19,19580.9673,22.99565615
15,4,25,1,2569.22,11927.48092,37.52993436
16,4,31,1,2557.93,31897.92663,11.7587615
17,4,30,0,2830.8,51409.2,11.8
18,5,6,1,3200,98135.42689,0
19,5,7,1,3200,85763.29331,0
20,5,66,0,2852.9,54247.7,10.8
21,6,66,0,2852.9,54247.7,10.8
22,7,67,1,2531.17,34470.87211,10.82261498
23,7,27,1,2779.33,17822.13509,22.2881296
24,7,66,0,2852.9,54247.7,10.8
25,8,9,1,3200,97181.72983,0
26,8,10,1,3200,96525.09653,0
27,8,30,0,2680,31954.7,18.2
28,9,30,0,2680,31954.7,18.2
29,10,30,0,2680,31954.7,18.2
30,11,12,1,3200,87260.0349,0
31,11,13,1,3200,84674.00508,0
32,11,37,0,2797.6,47120.3,13.2
33,12,37,0,2797.6,47120.3,13.2
34,13,15,1,2509.28,14854.42662,23.85353125
35,13,27,1,2749.92,15335.07131,25.77633536
36,13,37,0,2797.6,47120.3,13.2
37,14,15,1,3200,99502.48756,0
38,14,16,1,3200,96061.47935,0
39,15,34,1,2166.71,12623.07498,28.51122433
40,17,18,1,3200,99304.86594,0
41,17,35,0,2975.3,70038.7,5.6
42,17,33,0,2840.1,52607.9,11.4
43,17,34,0,2840.1,52607.9,11.4
44,17,36,0,2975.3,70038.7,5.6
45,18,36,1,2320.55,54525.62704,5.614796238
46,18,59,1,2501.83,12367.05417,34.76512402
47,18,35,0,2975.3,70038.7,5.6
48,19,20,1,3200,97656.25,0
49,19,21,1,3200,85984.52279,0
50,19,28,0,2520.3,11352.6,25
51,20,28,0,2520.3,11352.6,25
52,21,29,1,2181.75,15080.68165,24.96925958
53,21,28,0,2520.3,11352.6,25
54,22,23,1,3200,98039.21569,0
55,22,28,0,2629.4,25429.7,20.3
56,22,24,0,2617.9,23944,20.8
