bus_num,lat,lon
0,44.2974,69.8184
1,44.2974,69.8184
2,44.8534,68.9483
3,44.8534,68.9483
4,44.8534,68.9483
5,43.2576,70.7437
6,43.2576,70.7437
7,43.2576,70.7437
8,44.5402,68.7896
9,44.5402,68.7896
10,44.5402,68.7896
11,43.767,70.135
12,43.767,70.135
13,43.767,70.135
14,44.1104,70.1876
15,44.1104,70.1876
16,44.1104,70.1876
17,44.5332,70.4909
18,44.5332,70.4909
19,45.443,69.8801
20,45.443,69.8801
21,45.443,69.8801
22,44.7879,69.9256
23,44.7879,69.9256
24,44.5859,69.6119
25,44.5859,69.6119
26,43.5487,70.5522
27,43.5487,70.5522
28,45.0817,69.9
29,45.0817,69.9
30,44.7989,68.7216
31,44.7989,68.7216
32,44.7989,68.7216
33,44.5199,70.2616
34,44.5199,70.2616
35,44.5937,70.5669
36,44.5937,70.5669
37,43.652,70.3449
38,43.0151,72.341
39,43.0151,72.341
40,43.5295,72.2361
41,43.0595,70.8234
42,43.0595,70.8234
43,43.0595,70.8234
44,43.1424,71.4465
45,43.1424,71.4465
46,43.1424,71.4465
47,44.7114,71.2851
48,44.7114,71.2851
49,42.9218,71.4357
50,42.9218,71.4357
51,42.8967,70.8193
52,42.8967,70.8193
53,43.764,71.8309
54,43.764,71.8309
55,44.3259,72.0056
56,44.3259,72.0056
57,44.3259,72.0056
58,44.4081,71.172
59,44.4081,71.172
60,43.8369,71.2006
61,43.8369,71.2006
62,43.8369,71.2006
63,44.3172,71.8732
64,44.3172,71.8732
65,44.3172,71.8732
66,43.1044,70.7892
67,43.1044,70.7892
68,44.0266,73.2612
69,44.0266,73.2612
70,44.3584,71.9714
71,44.3584,71.9714
72,44.4876,73.1137
73,44.9229,72.986
74,44.9229,72.986
75,43.3954,72.4375
76,43.3954,72.4375
77,43.3954,72.4375
78,43.5999,72.9648
79,43.5999,72.9648
80,43.1597,72.4369
81,43.1597,72.4369
82,43.1597,72.4369
83,44.7655,72.4324
84,43.6528,72.2759
85,44.6731,72.1328
86,44.6731,72.1328
87,44.2699,72.5921
88,44.2699,72.5921
89,42.7813,72.9
90,42.7813,72.9
91,42.7813,72.9
92,44.6514,73.0723
93,44.6514,73.0723
94,42.8097,72.5678
95,42.8097,72.5678
96,41.7282,70.9114
97,41.7282,70.9114
98,42.4847,70.8832
99,42.8019,71.0102
100,42.8019,71.0102
101,42.8019,71.0102
102,42.1455,72.7021
103,42.1455,72.7021
104,42.2198,72.3826
105,42.2198,72.3826
106,42.52,71.2152
107,42.52,71.2152
108,42.4015,71.4225
109,42.4015,71.4225
110,42.4015,71.4225
111,42.5858,71.363
112,42.5858,71.363
113,42.0709,71.0979
114,42.1299,70.8231
115,42.1299,70.8231
116,42.1299,70.8231
117,42.5094,71.7817
118,42.5094,71.7817
119,42.3237,71.6613
120,42.4405,73.2342
121,42.4405,73.2342
122,42.1121,71.4499
123,42.1121,71.4499
124,41.6982,71.2124
125,41.6982,71.2124
126,41.6982,71.2124
127,41.8251,71.1534
128,41.8251,71.1534
129,41.8251,71.1534
130,41.7607,70.4684
131,41.7607,70.4684
132,41.7607,70.4684
133,42.0722,71.5231
134,42.0722,71.5231
135,42.2664,71.423
136,42.2664,71.423
137,42.6077,72.4593
138,42.6077,72.4593
139,42.1196,72.0149
140,42.1196,72.0149
141,42.1196,72.0149
142,41.9448,70.5821
143,41.9448,70.5821
144,42.0608,71.4644
145,42.0608,71.4644
146,42.0608,71.4644
147,42.6898,72.9962
148,41.7196,71.4944
149,41.7196,71.4944
150,41.4706,71.5419
151,41.4706,71.5419
152,42.0459,71.6654
153,42.0459,71.6654
154,41.6365,71.19
155,41.3679,73.3911
156,41.3679,73.3911
157,41.2629,73.333
158,41.2629,73.333
159,41.6426,72.9607
160,41.6889,72.7028
161,41.8499,73.0925
162,41.506,73.0152
163,41.506,73.0152
164,41.2521,73.0111
165,41.2521,73.0111
166,41.2521,73.0111
167,41.7553,72.4281
168,41.7553,72.4281
169,41.7553,72.4281
170,41.2613,72.9317
171,41.2613,72.9317
172,41.8696,71.8797
173,41.8696,71.8797
174,41.8696,71.8797
175,41.4312,72.1216
176,41.0308,73.5955
177,41.5797,72.6055
178,41.5797,72.6055
179,41.5357,72.5942
180,41.5357,72.5942
181,41.9263,72.6138
182,41.9263,72.6138
183,41.4259,72.8278
184,41.4259,72.8278
185,41.4259,72.8278
186,41.3064,72.1518
187,41.3064,72.1518
