Node,Cluster
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
135,5
137,5
139,5
142,5
144,5
147,5
148,5
150,5
152,5
154,5
155,5
157,5
159,5
160,5
161,5
162,5
164,5
167,5
170,5
172,5
175,5
176,5
177,5
179,5
181,5
183,5
186,5
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
135,5
137,5
139,5
142,5
144,5
147,5
148,5
150,5
152,5
154,5
155,5
157,5
159,5
160,5
161,5
162,5
164,5
167,5
170,5
172,5
175,5
176,5
177,5
179,5
181,5
183,5
186,5
0,4
2,4
5,4
8,4
11,4
14,4
17,4
19,4
22,4
24,4
26,4
28,4
30,4
33,4
35,4
37,4
38,4
40,4
41,4
44,4
47,4
49,4
51,4
53,4
55,4
58,4
60,4
63,4
66,4
68,4
70,4
72,4
73,4
75,4
78,4
80,4
83,4
84,4
85,4
87,4
89,4
92,4
94,4
96,4
98,4
99,4
102,4
104,4
106,4
108,4
111,4
113,4
114,4
117,4
119,4
120,4
122,4
124,4
127,4
130,4
133,4
135,4
137,4
139,4
142,4
144,4
147,4
148,4
150,4
152,4
154,4
155,4
157,4
159,4
160,4
161,4
162,4
164,4
167,4
170,4
172,4
175,4
176,4
177,4
179,4
181,4
183,4
186,4
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
135,5
137,5
139,5
142,5
144,5
147,5
148,5
150,5
152,5
154,5
155,5
157,5
159,5
160,5
161,5
162,5
164,5
167,5
170,5
172,5
175,5
176,5
177,5
179,5
181,5
183,5
186,5
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
135,5
137,5
139,5
142,5
144,5
147,5
148,5
150,5
152,5
154,5
155,5
157,5
159,5
160,5
161,5
162,5
164,5
167,5
170,5
172,5
175,5
176,5
177,5
179,5
181,5
183,5
186,5
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
135,5
137,5
139,5
142,5
144,5
147,5
148,5
150,5
152,5
154,5
155,5
157,5
159,5
160,5
161,5
162,5
164,5
167,5
170,5
172,5
175,5
176,5
177,5
179,5
181,5
183,5
186,5
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
135,5
137,5
139,5
142,5
144,5
147,5
148,5
150,5
152,5
154,5
155,5
157,5
159,5
160,5
161,5
162,5
164,5
167,5
170,5
172,5
175,5
176,5
177,5
179,5
181,5
183,5
186,5
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
135,5
137,5
139,5
142,5
144,5
147,5
148,5
150,5
152,5
154,5
155,5
157,5
159,5
160,5
161,5
162,5
164,5
167,5
170,5
172,5
175,5
176,5
177,5
179,5
181,5
183,5
186,5
0,5
2,5
5,5
8,5
11,5
14,5
17,5
19,5
22,5
24,5
26,5
28,5
30,5
33,5
35,5
37,5
38,5
40,5
41,5
44,5
47,5
49,5
51,5
53,5
55,5
58,5
60,5
63,5
66,5
68,5
70,5
72,5
73,5
75,5
78,5
80,5
83,5
84,5
85,5
87,5
89,5
92,5
94,5
96,5
98,5
99,5
102,5
104,5
106,5
108,5
111,5
113,5
114,5
117,5
119,5
120,5
122,5
124,5
127,5
130,5
133,5
