Node,Cluster
0,0
1,0
2,1
3,1
4,1
5,2
6,2
7,2
8,3
9,3
10,3
11,4
12,4
13,4
14,5
15,5
16,5
17,6
18,6
19,7
20,7
21,7
22,8
23,8
24,9
25,9
26,10
27,10
28,11
29,11
30,12
31,12
32,12
33,13
34,13
35,14
36,14
37,15
38,16
39,16
40,17
41,18
42,18
43,18
44,19
45,19
46,19
47,20
48,20
49,21
50,21
51,22
52,22
53,23
54,23
55,24
56,24
57,24
58,25
59,25
60,26
61,26
62,26
63,27
64,27
65,27
66,28
67,28
68,29
69,29
70,30
71,30
72,31
73,32
74,32
75,33
76,33
77,33
78,34
79,34
80,35
81,35
82,35
83,36
84,37
85,38
86,38
87,39
88,39
89,40
90,40
91,40
92,41
93,41
94,42
95,42
96,43
97,43
98,44
99,45
100,45
101,45
102,46
103,46
104,47
105,47
106,48
107,48
108,49
109,49
110,49
111,50
112,50
113,51
114,52
115,52
116,52
117,53
118,53
119,54
120,55
121,55
122,56
123,56
124,57
125,57
126,57
127,58
128,58
129,58
130,59
131,59
132,59
133,60
134,60
135,61
136,61
137,62
138,62
139,63
140,63
141,63
142,64
143,64
144,65
145,65
146,65
147,66
148,67
149,67
150,68
151,68
152,69
153,69
154,70
155,71
156,71
157,72
158,72
159,73
160,74
161,75
162,76
163,76
164,77
165,77
166,77
167,78
168,78
169,78
170,79
171,79
172,80
173,80
174,80
175,81
176,82
177,83
178,83
179,84
180,84
181,85
182,85
183,86
184,86
185,86
186,87
187,87
