Sort,State,FIPS,County,Population (2010),Population (2019),Latitude,Longitude,ng_share_in_state2020,e_share_in_state2020,state_pop_share_2019
309,CT,9001,Fairfield,916829,943332,41.228103,73.366757,0.2171739458209946,0.22874891884029327,0.26458795603271207
310,CT,9003,Hartford,894014,891720,41.806053,72.732916,0.21105665274839158,0.2705605681959006,0.25011170208737754
311,CT,9005,Litchfield,189927,180333,41.791897,73.235428,0.1497774611341848,0.037761337452031724,0.050580219769123774
312,CT,9007,Middlesex,165676,162436,41.434525,72.524227,0.062482087314475444,0.07059487058269907,0.045560427533603884
313,CT,9009,New Haven,862477,854757,41.349717,72.900204,0.20686175487802005,0.2988676601712968,0.2397442337741674
314,CT,9011,New London,274055,265206,41.47863,72.103452,0.09326222552256548,0.0376432202762674,0.07438559644707425
315,CT,9013,Tolland,152691,150721,41.858076,72.340977,0.008593009891893029,0.017122667685093414,0.0422745770536846
316,CT,9015,Windham,118428,116782,41.824999,71.990702,0.05079286268947502,0.03870075679641767,0.03275528730225645
1178,ME,23001,Androscoggin,107702,108277,44.167681,70.207435,0.054010863342954116,0.09182525205410515,0.08055053815915941
1179,ME,23003,Aroostook,71870,67055,46.727057,68.64941,0.09518726993045133,0.09784984737683006,0.049884244449536236
1180,ME,23005,Cumberland,281674,295003,43.808348,70.330375,0.1423730113307068,0.14454408468337596,0.2194616622973162
1181,ME,23007,Franklin,30768,30199,44.973012,70.444727,0.09324015372691664,0.018839688169915124,0.022465950311409213
1182,ME,23009,Hancock,54418,54987,44.564906,68.370703,0.009615598877532437,0.008905714454881683,0.04090649391613823
1183,ME,23011,Kennebec,122151,122302,44.417012,69.765764,0.025010734701590206,0.020341996658871615,0.09098416023662934
1184,ME,23013,Knox,39736,39772,44.042045,69.038515,0.029198620923882496,0.016863037675128634,0.029587594813913282
1185,ME,23015,Lincoln,34457,34634,43.994265,69.514029,0.004282063648402224,0.010217342491287132,0.02576528107173571
1186,ME,23017,Oxford,57833,57975,44.494585,70.734688,0.10356410636205433,0.09661290651500312,0.04312935757157353
1187,ME,23019,Penobscot,153923,152148,45.390602,68.657487,0.030806273727527284,0.052761615703967424,0.11318750316170366
1188,ME,23021,Piscataquis,17535,16785,45.917678,69.104548,0.023141197807449897,0.053098401776230784,0.012486869630683255
1189,ME,23023,Sagadahoc,35293,35856,43.916694,69.843994,0.000988443958431612,0.0025811143042091074,0.02667436386522364
1190,ME,23025,Somerset,52228,50484,45.507482,69.97604,0.2138523650089586,0.24968158945608745,0.0375565758972543
1191,ME,23027,Waldo,38786,39715,44.505361,69.139678,0.007534796696679515,0.022601939241254216,0.029545190788357788
1192,ME,23029,Washington,32856,31379,44.967009,67.609354,0.10386625981885268,0.008915364242231598,0.023343788033435203
1193,ME,23031,York,197131,207641,43.427239,70.670402,0.06332824013760997,0.10436010519662105,0.154470425795931
1218,MA,25001,Barnstable,215888,212990,41.798819,70.211083,0.02134054002788822,0.015567153222032656,0.03090169130140386
1219,MA,25003,Berkshire,131219,124944,42.375314,73.213948,0.05121962012882522,0.024857678825246917,0.018127522033722726
1220,MA,25005,Bristol,548285,565217,41.748576,71.087062,0.1356181361663874,0.13412410535306926,0.08200460703462878
1221,MA,25007,Dukes,16535,17332,41.380939,70.701536,0.000705692424431655,0.0011092184985977906,0.002514616243184805
1222,MA,25009,Essex,743159,789034,42.642711,70.865107,0.1515039184340132,0.1637398286942262,0.11447713551956379
1223,MA,25011,Franklin,71372,70180,42.583791,72.591655,0.03097396627514979,0.02569931641075059,0.010182077541351814
1224,MA,25013,Hampden,463490,466372,42.136198,72.635648,0.09803812283619644,0.08341096870815229,0.06766366296830048
1225,MA,25015,Hampshire,158080,160830,42.339459,72.663694,0.011596225469669775,0.012422391735076647,0.023334048603243264
1226,MA,25017,Middlesex,1503085,1611699,42.479477,71.396507,0.1747314628421311,0.2331787768061548,0.23383363054031314
1227,MA,25019,Nantucket,10172,11399,41.305878,70.14191,0.0011162692968402117,0.0015263966695830092,0.001653825903303923
1228,MA,25021,Norfolk,670850,706775,42.169703,71.179875,0.07010649270438113,0.06661583640000372,0.10254257415629707
1229,MA,25023,Plymouth,494919,521202,41.987196,70.741942,0.029263877619608077,0.04764945962604054,0.07561868308218364
1230,MA,25025,Suffolk,722023,803907,42.33196,71.020173,0.06193445137631253,0.03932214979775266,0.11663498731883033
1231,MA,25027,Worcester,798552,830622,42.311693,71.940282,0.1618512243981652,0.15077671925331287,0.12051093775367236
1765,NH,33001,Belknap,60088,61303,43.519109,71.425366,0.027247088097798612,0.025253270808771138,0.045085315923751444
1766,NH,33003,Carroll,47818,48910,43.867567,71.201665,0.010207669959390554,0.02371750777945387,0.03597087910592766
1767,NH,33005,Cheshire,77117,76085,42.925455,72.248217,0.04517184610936961,0.07144175881181687,0.05595674374922318
1768,NH,33007,Coos,33055,31563,44.652419,71.289383,0.048241865241435845,0.034018475422933,0.023213021002257098
1769,NH,33009,Grafton,89118,89886,43.926488,71.842264,0.041228199026034265,0.07165128718150557,0.06610669473145396
1770,NH,33011,Hillsborough,400721,417025,42.911643,71.723101,0.2856404662813198,0.30141289971961877,0.3067012034174909
1771,NH,33013,Merrimack,146445,151391,43.299485,71.68013,0.047664554352642094,0.06765234243629234,0.11134057163617857
1772,NH,33015,Rockingham,295223,309769,42.98936,71.099437,0.3780019563445468,0.22525026140822324,0.2278197352231467
1773,NH,33017,Strafford,123143,130633,43.293177,71.035927,0.0819793147607711,0.1462377911444053,0.09607409221518397
1774,NH,33019,Sullivan,43742,43146,43.361188,72.222084,0.03461703982669143,0.03336440528698002,0.03173174299538652
2312,RI,44001,Bristol,49875,48479,41.705271,71.285053,0.020392088320960178,0.029415373938755977,0.04576249267246953
2313,RI,44003,Kent,166158,164292,41.67775,71.576314,0.07492347111589806,0.07850091689801454,0.15508594331866096
2314,RI,44005,Newport,82888,82082,41.502732,71.284063,0.038956255430769665,0.024188690071755288,0.07748255788159088
2315,RI,44007,Providence,626667,638931,41.870488,71.578242,0.4421736496559613,0.5609486343441145,0.6031286785146895
2316,RI,44009,Washington,126979,125577,41.401162,71.617612,0.42355453547641086,0.3069463847473597,0.1185403276125891
2807,VT,50001,Addison,36821,36777,44.031248,73.141581,0.041621144671246404,0.0293156352997274,0.058938538980655104
2808,VT,50003,Bennington,37125,35470,43.035325,73.11146,0.01314346491944172,0.03456429377476468,0.05684395077477327
2809,VT,50005,Caledonia,31227,29993,44.468791,72.112168,0.31791511520919563,0.11215759753808954,0.04806655245525161
2810,VT,50007,Chittenden,156545,163774,44.460676,73.070525,0.20964211757376022,0.461907405768131,0.26246296008423226
2811,VT,50009,Essex,6306,6163,44.724021,71.732736,0.0016618034521727642,0.006527814231494959,0.009876776673947778
2812,VT,50011,Franklin,47746,49402,44.858964,72.909402,0.09726538536743871,0.0587657844645919,0.07917126744221453
2813,VT,50013,Grand Isle,6970,7235,44.801788,73.300758,0.00173945922744781,0.0033912054607244595,0.011594755676782764
2814,VT,50015,Lamoille,24475,25362,44.603504,72.638356,0.005954288262401587,0.011049398098159342,0.04064494726669861
2815,VT,50017,Orange,28936,28892,44.003392,72.369687,0.0061282227434447094,0.014389207030849878,0.04630209827416829
2816,VT,50019,Orleans,27231,27037,44.828442,72.25163,0.007898298056615538,0.018880584788217393,0.043329289458628274
2817,VT,50021,Rutland,61642,58191,43.580844,73.038196,0.09761845137606344,0.04278843316937401,0.09325645163616667
2818,VT,50023,Washington,59534,58409,44.274953,72.609475,0.029008641624546822,0.034566518133354596,0.09360581676920587
2819,VT,50025,Windham,44513,42222,42.999143,72.716335,0.13948890796237734,0.10352816065307571,0.06766465434486826
2820,VT,50027,Windsor,56670,55062,43.588143,72.591515,0.03091469955384734,0.06816796158944496,0.0882419401624067
