,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,89883.56892,85369.35683,24760.96499,99382.86465,52858.69506,84582.80838,52117.34705,76158.43854,21191.1265,109062.852,97359.59832,563363.5277,115151.3967,19544.64915,141356.1577,115207.2768,54207.76129,37280.18629
1,115955.0038,110014.3598,29744.93677,127495.6405,67581.49467,92936.14617,57688.23209,85464.73408,22018.0535,114284.9796,101975.1381,592818.7715,120648.7696,22981.52003,165350.483,103272.8579,56664.05797,38897.93877
2,106886.3324,101441.8576,28011.31519,117716.9104,62460.3254,85936.8345,53020.35421,77666.93342,19145.58688,96145.06234,85942.3033,490501.1491,101552.7428,17582.21068,127655.5013,93526.604,66903.71611,45641.92556
3,113757.9728,107937.5337,29324.93916,125126.5864,66340.80933,87100.5043,53796.41174,78963.35591,21737.50296,112513.2746,100409.2294,582825.5259,118783.6824,19755.2353,142826.3534,100528.9927,68174.10219,46478.62018
4,139967.1678,132712.7596,34335.24599,153387.9087,81141.40346,97161.15784,60505.91466,90171.73962,26480.21629,142463.9891,126880.9521,751761.5717,150313.0239,25956.98273,186123.5124,134231.3687,63148.01043,43168.36353
5,161578.8525,153142.0162,38466.66519,176691.7449,93345.73763,103169.6485,64513.00879,96865.68538,25373.54574,135475.2526,120704.0078,712341.8273,142955.9286,27393.89872,196155.2624,141408.17,55865.35185,38371.89937
6,149754.4229,141964.53,36206.23634,163941.4862,86668.36414,92247.35231,57228.87183,84697.36188,21837.96839,113147.724,100969.9829,586404.1175,119451.572,24179.13429,173711.5611,115318.8335,52689.83233,36280.45634
7,157949.8232,149711.5399,37772.91819,172778.5698,91296.38851,104267.7546,65245.34155,98089.06462,23366.22353,122798.8098,109500.0254,640840.7576,129611.3423,28261.65153,202213.431,132911.8739,64238.77892,43886.75942
8,140625.8658,133335.4186,34461.16665,154098.1814,81513.3768,100786.3709,62923.58835,94210.52086,26719.17683,143973.0491,128214.7238,760273.3763,151901.6226,27522.95583,197056.2675,109708.9059,53302.86714,36684.20992
9,127013.932,120468.227,31859.02778,139420.4605,73826.58186,97773.91865,60914.56808,90854.40485,26863.31522,144883.2976,129019.2404,765407.6038,152859.848,25238.6849,181108.7555,108074.8243,47330.80965,32750.92658
10,133271.6391,126383.5596,33055.28858,146168.1335,77360.37154,108239.1328,67893.87459,102513.5019,26740.16466,144105.5893,128331.8686,761020.9652,152041.1487,28790.47991,205905.4173,103272.162,56077.60144,38511.69002
11,131844.4859,125034.4894,32782.46542,144629.2371,76554.44387,107611.3018,67475.17079,101814.0472,26091.84879,140011.409,124713.2569,737927.8722,147731.1744,27275.31229,195327.3578,122681.5922,52950.87434,36452.38238
12,106971.2274,101522.1078,28027.54423,117808.4525,62508.26646,91050.49779,56430.68324,83363.96891,23994.9094,126769.0246,113009.0711,663234.6275,133790.8172,23165.18868,166632.7556,154420.9862,57584.9797,39504.47113
13,100449.8885,95357.5672,26780.88598,110776.5058,58825.60122,77638.7447,47486.31435,68422.18861,24656.79228,130948.882,116703.4079,686810.9791,138190.9844,20001.05704,144542.5443,188828.6972,56617.46758,38867.25366
14,141804.2683,134449.3478,34686.43714,155368.8505,82178.83247,90385.78183,55987.38066,82623.42145,26975.09782,145589.216,129643.1613,769389.314,153602.9736,25882.89573,185606.278,177730.3403,44062.65514,30598.4728
15,157959.5259,149720.7118,37774.77302,172789.0323,91301.86774,93268.41903,57909.82661,85834.91299,24398.85972,129320.0118,115263.7426,677623.3886,136476.2605,27246.37183,195125.3115,137320.2375,68560.67251,46733.22098
16,156147.1184,148007.4655,37428.30233,170834.7169,90278.3831,109297.6694,68599.81826,103692.7975,26483.40995,142484.1574,126898.7776,751875.3303,150334.2551,31559.33882,225236.0536,222110.109,88778.12352,60048.72632
17,195113.9486,184842.3251,44877.43518,212852.5716,112283.3412,125065.9614,79115.77537,121259.9532,28648.92106,156159.5791,138985.7003,829011.1082,164730.474,41235.60382,292790.3662,197374.8017,73074.97723,49706.40729
18,175417.4048,166223.4274,41112.1258,191613.828,101160.5063,124635.477,78828.68302,120780.3586,27175.1462,146852.5418,130759.7426,776515.0625,154932.8861,37898.31575,269491.2729,184343.2041,67888.02994,46290.20887
19,163960.3136,155393.1817,38921.91956,179259.6695,94690.57245,109157.6898,68506.46512,103536.8489,25972.20146,139255.824,124045.4385,733666.0194,146935.7645,32259.89113,230126.9211,185331.0636,79577.09119,53988.79349
20,203611.5171,192874.9709,46501.88132,222015.4827,117082.003,122867.1103,77649.34996,118810.2548,24491.02098,129902.0195,115778.1459,680906.1843,137088.9443,43134.04313,306044.2159,194352.9034,64366.65688,43970.98169
21,211332.2747,200173.307,47977.82763,230340.7601,121441.992,122010.6163,77078.1496,117856.051,29209.4499,159699.3754,142114.3237,848977.2161,168456.8441,44345.35778,314500.9426,216604.2389,60967.39798,41732.18067
22,196518.0706,186169.6242,45145.85557,214366.6336,113076.263,129832.441,82294.56575,126570.1979,31214.87982,172363.8682,153307.7442,920410.8821,181788.8505,44157.96268,313192.654,188121.293,65935.69944,45004.37579
23,179173.9886,169774.4794,41830.25689,195664.5448,103281.8867,120183.0759,75859.35326,115820.0228,27266.61706,147430.1895,131270.2924,779773.266,155540.9802,37204.45694,264647.1357,174387.2303,90450.79869,61150.37434
24,158061.3127,149816.9296,37794.23119,172898.7888,91359.34776,103604.3565,64802.91782,97349.98528,25264.31233,134785.4326,120094.3153,708450.9196,142229.7499,34055.16067,242660.4968,176787.3654,83483.7993,56561.80789
25,165483.2627,156832.8066,39213.05565,180901.8626,95550.59706,123894.768,78334.7003,119955.1488,22407.1245,116742.0024,104146.7599,606677.5296,123235.2958,37085.16173,263814.2827,167450.5744,100333.6665,67659.3739
26,192802.4228,182657.2686,44435.55006,210360.058,110977.9996,132653.0928,84175.67333,129712.6327,20682.45979,105850.5703,94520.44636,545244.7557,111769.8037,40273.36849,286072.5731,191741.0191,98844.88598,66678.84151
27,192336.7481,182217.0721,44346.52889,209857.9219,110715.0284,120446.9951,76035.36238,116114.0502,23121.08537,121250.7375,108131.7729,632108.9057,127981.6751,37819.75165,268942.7819,202982.222,75039.12543,51000.02368
28,177435.7631,168131.3564,41497.96728,193790.2197,102300.2934,116445.5131,73366.7529,111656.0748,23502.63241,123660.2457,110261.3993,645699.6593,130518.1823,33513.77975,238880.8757,171124.5512,67520.39574,46048.07967
29,132395.3455,125555.2101,32887.77104,145223.2279,76865.51977,106065.2233,66444.08287,100091.5904,22629.78428,118148.1214,105389.5481,614608.699,124715.5279,25439.6024,182511.45,135691.1675,68620.83375,46772.84405
30,159622.9215,151293.0989,38092.75768,174582.6683,92241.20382,106543.4772,66763.03295,100624.4041,23933.74285,126382.7517,112667.6665,661055.8672,133384.1848,29598.94676,211549.6842,134527.7349,55008.12182,37807.3153
31,166554.068,157816.2013,38876.45127,181880.6817,96005.25248,109691.0716,68862.18024,104131.0794,25876.90726,138825.9847,123658.8255,731601.2606,146480.9075,34260.58062,244707.9078,136612.3175,33615.92157,23492.65006
32,159193.4986,150858.3467,37469.3607,173943.7945,91848.66543,100105.9189,62469.79134,93452.44218,26426.40189,142296.0989,126725.8608,751174.3282,150133.9226,30201.84379,216372.0596,124488.6715,58543.70886,39910.45093
33,172920.2847,163834.1067,40093.45541,188745.3603,99600.3186,110303.7655,69270.78905,104813.6701,23689.59401,125012.8802,111450.2129,653688.8873,131939.749,35482.11317,253235.9702,111437.6817,77636.32581,52485.12429
34,175037.8592,165835.8236,40498.26365,191028.7367,100796.1341,118163.791,74512.68148,113570.3757,22361.97662,116628.8421,104040.0414,606398.9889,123113.8093,38967.90566,277571.839,128556.5508,67963.2082,46114.26928
35,155656.6503,147515.008,36793.23557,170130.0181,89851.37187,110376.2888,69319.15522,104894.467,23536.8112,124048.0413,110597.447,648246.7444,130924.0558,35757.54796,255158.9031,141680.5786,92096.63981,62008.89601
36,142818.0745,135378.8621,34338.93647,156286.2076,82601.29994,121346.3358,76635.13739,117115.9886,26401.96855,142141.7999,126589.4848,750304.0098,149971.4909,34248.51402,244623.6655,154167.9082,92348.34467,62174.67247
37,144542.3047,137008.7554,34668.55065,158145.4416,83574.98995,126568.6328,80117.91485,122934.0509,25899.35162,138967.7231,123784.0999,732400.7314,146630.1165,32927.1108,235398.3615,141466.4642,92937.53621,62562.72253
38,152383.7647,144421.19,36167.57115,166600.8722,88003.14073,102498.3292,64065.3024,96117.78125,26068.94528,140038.7242,124730.6965,738441.6789,147757.5674,24596.77857,177240.6047,157722.3309,73663.7567,49868.73288
39,145866.5102,138260.5104,34921.6937,159573.3296,84322.78199,99121.20917,61813.08323,92355.39572,24597.6239,130747.1808,116518.433,686033.026,137976.2901,22927.25694,165584.9312,149133.0498,74265.55341,50265.08489
40,150103.8263,142265.9926,35731.72445,164142.4191,86715.63671,94951.60046,59032.34918,87710.11356,21830.43805,113272.1223,101073.2288,587465.5181,119580.1651,22589.09322,163224.0597,118812.333,57275.82506,39075.40433
41,139169.9652,131930.3498,33641.54202,152352.4587,80541.17618,96305.10755,59935.01021,89218.0302,21659.14978,112190.4195,100117.1737,581364.2085,118441.4486,23338.12105,168453.3563,113319.2774,76827.01432,51952.10005
42,161586.8081,153120.7123,37926.88008,176524.4953,93200.19118,114169.0581,71848.57303,109119.9194,21880.58976,113588.8354,101353.1534,589251.9282,119913.5714,30199.30885,216354.3621,99683.54464,58316.34841,39760.70805
43,166450.7771,157718.5617,38856.70556,181769.3033,95946.92307,118015.972,74414.10024,113405.6934,23719.04926,125198.8931,111614.619,654738.087,132135.5661,38412.54389,273694.6113,119013.6654,67970.44833,46119.03774
44,160355.9106,151957.1603,37691.57435,175197.221,92505.09112,113687.2292,71527.2388,108583.1229,23534.85544,124035.6905,110586.5308,648177.0801,130911.054,35261.69016,251697.0991,148848.786,63052.22267,42879.82326
45,144319.5291,136798.1685,34625.96353,157905.2231,83449.18636,101909.1343,63672.3652,95461.37033,24614.90054,130856.2846,116614.8636,686648.4225,138091.1445,30157.70859,216063.9321,143052.9389,58100.72766,39618.69711
46,155911.9934,147756.3807,36842.04849,170405.354,89995.56669,98893.20009,61661.02277,92101.37512,27093.68584,146510.0645,130450.3439,774943.0665,154569.9958,32564.64863,232867.8518,121175.6268,48363.85009,33205.84886
47,155414.7566,147286.3489,36746.99372,169869.1846,89714.77208,100960.0988,63039.44843,94404.06787,27265.73192,147596.5529,131410.6288,781071.3695,155713.7503,31088.15914,222559.8215,122499.296,57439.75045,39183.36797
48,127271.3289,120682.717,31366.92738,139522.1831,73821.89746,94321.36787,58612.04375,87007.98336,23827.00395,125880.6379,112217.1743,658583.4468,132853.244,28698.35339,205875.524,120720.751,40783.60882,28213.39244
49,126559.1604,120009.5129,31230.78499,138754.2532,73419.7288,93571.31623,58111.83035,86172.36503,21906.65312,113753.4282,101498.6275,590180.3086,120086.8395,30562.12611,218887.3508,117843.0813,46137.84008,31739.76651
50,96747.52858,91828.94835,25531.81473,106608.4305,56584.80261,80051.41219,49095.33502,71110.0958,20050.62064,102032.3953,91139.07731,524068.1981,107748.0204,22027.93873,159306.3904,130707.7994,39645.3099,27463.69233
51,88353.12242,83893.82068,23927.08973,97556.7592,51844.39763,79909.78405,49000.88247,70952.31058,20329.82307,103795.5869,92697.46144,534013.4237,109604.1453,20037.10486,145407.4931,134553.6895,72004.25448,48775.76074
52,85984.48244,81654.77477,23474.28631,95002.65946,50506.80298,79286.87418,48585.46059,70258.33847,21412.89925,110635.3225,98742.71237,572592.7335,116804.3863,21912.7179,158501.9825,162018.7363,71694.43902,48571.71181
53,114518.7906,108627.9012,28929.07572,125771.1467,66620.41175,86132.63462,53150.93434,77885.07062,20518.94446,104989.9076,93753.05317,540749.9513,110861.4157,22528.50726,162801.0821,154587.9715,43391.20606,29930.79366
54,111858.4123,106113.0786,28420.50184,122902.466,65118.06951,81960.8957,50368.77965,73237.41525,21533.56168,111397.318,99416.19657,576890.7445,117606.5446,23039.03856,166365.3283,131468.9258,54467.86587,37226.04185
55,114756.3894,108852.5004,28974.49653,126027.349,66754.58616,90413.60775,56005.93791,82654.42177,20910.45953,107462.3648,95938.31666,554695.7673,113464.19,22291.04835,161143.2758,141395.9659,57964.22203,39528.79253
56,116465.525,110468.125,29301.22513,127870.3064,67719.75209,106942.515,67029.15331,101068.9645,22057.94521,114708.853,102343.0729,595569.3518,121092.6223,24177.67103,174314.6284,125012.8291,57031.78707,38914.67739
57,114508.9323,108618.5822,28927.19114,125760.5164,66614.84464,99874.00603,62315.12743,93194.07245,21509.30333,111244.124,99280.79722,576026.6591,117445.2762,20564.70935,149090.9349,114457.6222,57674.87079,39338.22162
58,111165.534,105458.1094,28288.04707,122155.3368,64726.79423,90213.09538,55872.21515,82431.03473,20638.20856,105743.0724,94418.73248,544998.1536,111654.278,19542.69676,141955.8101,131057.6865,53282.591,36445.40269
59,108191.1202,102675.2572,28260.74625,119123.8604,63197.15209,100962.1764,63314.7515,95560.02086,18236.8625,90406.37599,80870.20683,458132.2726,95511.58472,17379.57578,126445.2446,125455.8591,42939.8288,29633.51007
60,104255.276,98954.75264,27508.34666,114879.8475,60974.54153,84006.90661,52007.19261,76670.47563,18252.1787,90503.09932,80955.69505,458677.8375,95613.4061,17357.49699,126291.1027,121271.6233,45458.08003,31292.06672
61,101865.8256,96696.03498,27051.56502,112303.308,59625.19508,93553.20069,58373.66649,87305.8212,21097.37047,108470.7732,96836.29379,560023.9264,114528.1109,22566.8411,162659.8524,156222.724,47905.20292,32903.77721
62,93294.36035,88593.53552,25412.99233,103060.7142,54784.80304,94644.847,59101.69118,88522.0037,19858.78054,100648.9525,89923.03403,515905.1971,106294.0217,19980.96308,144606.6871,139118.799,38564.19151,26751.65214
63,103396.1136,98142.59716,27344.10404,113953.4144,60489.36397,80858.06778,49907.21539,73162.41389,19073.04154,95686.93119,85537.38739,487917.0751,101070.4647,18978.4784,137607.8954,129487.7505,59153.40107,40312.00302
64,103627.0102,98360.86083,27388.24361,114202.3897,60619.75358,84425.61339,52286.43037,77136.94893,20014.50716,101632.3818,90792.23096,521452.1988,107329.2851,19327.2976,140043.1575,116989.6817,71157.45399,48218.04571
65,95094.29061,90294.98719,25757.07779,105001.5754,55801.24163,83171.25972,51449.8953,75739.49725,20247.11239,103101.3074,92090.53023,529737.6265,108875.6341,18294.21299,132830.734,97671.92448,84327.76172,56892.20066
66,108555.2796,103019.4926,28330.36114,119516.5327,63402.79652,80691.8494,49796.36348,72977.23314,18331.13009,91001.68532,81396.36668,461490.0958,96138.27131,15403.58564,112649.9779,111308.458,76827.47829,51952.40563
67,114622.4155,108754.6806,29490.19121,126058.7132,66828.96876,92200.64117,57471.63742,85798.96024,16956.7236,82322.1693,73725.03915,412533.5638,87001.2798,14203.28304,104270.1313,165918.0902,70280.31656,47640.35032
68,108967.1484,103408.8271,28409.09645,119960.6501,63635.38297,87611.79973,54411.31485,80686.61883,18016.04598,89011.89732,79637.70694,450266.7604,94043.60659,17761.05491,129108.5202,149316.0187,68836.79,46689.62288
69,143005.1469,135584.5234,34916.00428,156663.7554,82856.98058,74256.98024,45504.91529,65808.26719,19473.94549,98218.68018,87775.05545,502197.3242,103735.6558,23128.00731,166577.6035,143210.5779,64789.74394,44024.17987
70,142939.0701,135522.0618,34903.37265,156592.505,82819.66637,75781.07222,46521.34027,67506.22922,19500.85529,98388.61829,87925.25401,503155.8546,103914.551,23938.99009,172239.4353,126637.4144,64900.4946,44097.12185
71,122799.5829,116484.4552,31053.38755,134876.1364,71446.69685,73444.04318,44962.76327,64902.58939,19122.47466,95999.10631,85813.30112,489677.8889,101399.0938,23600.05023,169873.1452,118170.5029,53979.92749,36904.67858
72,114578.8853,108713.5321,29481.86971,126011.7747,66804.38681,71011.66428,43340.59695,62192.7221,20955.01205,107571.7653,96041.71219,554953.1014,113581.7186,22540.00994,162472.5322,126319.5402,47231.48676,32460.05802
73,109216.1169,103644.1738,28456.69075,120229.1123,63775.97793,75021.10546,46014.51443,66659.56464,17052.96225,82929.92608,74262.2006,415961.5964,87641.06992,16000.73557,116818.9474,101686.3983,52492.1484,35924.80578
74,110390.8138,104754.6002,28681.25285,121495.7856,64439.341,70702.94955,43134.71347,61848.78886,16128.2386,77090.20269,69100.80327,383022.8237,81493.54937,13806.14602,101497.541,122996.6782,43385.93587,29927.32264
