Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,shed-cost,storage-cost,tran-est-cost,CCS-cost,emission_e,num-est-tran,total-str-lev,total-str-cap,num-est-str,total-flow,NG-cost,NG-import-cost,RNG-import-cost,inv-storage,FOM-storage,shed-cost,pipe-est-cost,emission_g,num-est-pipe,total-ng-shed,total-RNG-import,total-flowGE,Production:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
6,joint_CF_with_extreme_days,4,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,8.216118574,44223544874,31319249782,28602480000,300000000,1881969900,160558765.6,161956080.5,1120107729,0,0,212285036.2,0,0,10892790.76,0,9094.774627,2576.852811,2,1345413.88,12904295091,1388207547,10461887544,0,1054200000,0,0,2607209.245,0,0,5447968.9,2420600.534,Production:,23623488.95,681687.3337,1472903.483,20844744.31,21220660.44,0,0,0,26027241.38,0,36420605.09,0,established:,0,0,0,0,0,0,0,0,1679,0,849,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,6,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,7.267671585,36382663147,25554340187,22784160000,300000000,1657879900,167102459,164787133.8,1175126227,0,0,454181647.6,26229046.64,0,11427833.03,2,18162.28959,6584.440781,4,2326557.518,10828322960,1388207547,8385915413,0,1054200000,0,0,2072166.966,0,0,5664014.656,3798329.039,Production:,24783849.56,838032.0563,1697358.842,19930599.99,21591605.58,0,0,0,36931777.5,0,24429105.27,0,established:,0,0,0,0,0,0,0,0,1818,0,518,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,8,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,12.3498745,42861057575,27550580843,24130800000,300000000,1675129900,182909056.7,162040609,1331845480,0,0,1073472231,26229046.64,0,12951891.82,2,36151.13683,21164.13931,5,3236141.713,15310476732,1388207547,12868069185,0,1054200000,0,0,548108.1766,0,0,14188663.64,5435155.352,Production:,28089116.95,826599.6034,1670237.615,21110539.17,21231735.98,0,0,0,41236138.75,0,21300604.55,0,established:,0,0,0,0,0,0,0,0,2155,0,473,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,10,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,15.24372458,30120357933,24240796736,21437440000,300000000,1580729900,155211433.6,173784500.3,1040004612,0,0,580516378.5,13114523.32,0,10113806.31,1,24441.52986,7401.425169,1,3763317.739,5879561197,1388207547,3437153650,0,1054200000,0,0,3386193.685,0,0,4982651.7,11408218.04,Production:,21934084.4,934053.9441,1870317.259,23025300,22770505.81,6.75E-09,2.29E-08,2.28E-05,46609756.72,1254646.472,14711439.83,0,established:,0,0,0,0,0,0,0,0,2155,58,318,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,12,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,23.11903906,44216841199,31426471594,28545360000,300000000,1852799900,155673588.7,162963441.8,1071278240,0,0,409674663.4,0,0,10417935.18,0,15428.3618,6727.976685,4,4034032.353,12790369605,1388207547,10347962058,0,1054200000,0,0,3082064.825,0,0,20434824.9,10354767.17,Production:,22593656.85,676833.439,1462505.304,21134015.66,21352652.23,1.29E-08,3.92E-07,5.65E-06,30299663.48,0,32306237.05,0,established:,0,0,0,0,0,0,0,0,1968,0,751,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,14,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,25.7464571,36524775890,25697747652,22781040000,300000000,1646139900,163885745.2,166457795.1,1140470432,0,0,627109687.9,13114523.32,0,11090813.37,1,25528.41654,8718.690644,2,5322585.21,10827028238,1388207547,8384620691,0,1054200000,0,0,2409186.626,0,0,20893056.82,13060161.22,Production:,24052945.94,827012.0922,1675066.788,20246562.62,21810507.75,6.84E-09,1.50E-07,4.86E-06,39008928.97,0,22553382.3,0,established:,0,0,0,0,0,0,0,0,1942,0,477,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,16,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,31.02641916,42901663311,27774505561,24334800000,300000000,1682529900,177297041.9,162325436.6,1277918929,0,0,1091324136,26229046.64,0,12427468.48,2,37675.31498,20753.08396,2,6557178.073,15127157750,1388207547,12684750203,0,1054200000,0,0,1072531.516,0,0,29101920.89,14143682.3,Production:,26951785.91,818386.881,1653438.087,20901607.69,21269056.16,4.20E-08,2.99E-06,5.29E-06,40922161.45,0,21790598.77,0,established:,0,0,0,0,0,0,0,0,2155,0,483,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,18,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,34.10684085,37923489824,22956695483,19228800000,300000000,1530599900,186342527.7,163476705.3,1360836296,0,51571044.53,1469676259,26229046.64,0,13233820.86,2,69346.43765,12563.84285,3,7355501.742,14966794341,1388207547,12524386794,0,1054200000,0,0,266179.1432,0,0,30641337.3,18289651.86,Production:,28700544.04,944815.4092,1975587.615,21159715.39,21419903.73,0,0,0,48148419.17,13076177.7,33990.39122,0,established:,0,0,0,0,0,0,0,0,2155,585,1,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,20,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,63.35802627,34968224472,24562012705,22048320000,300000000,1741079900,145662854.5,159062204.3,986041267.5,0,0,167887746.7,0,0,9589025.17,0,6298.904679,2776.812,5,6785589.012,10406211767,1388207547,7963804220,0,1054200000,0,0,3910974.83,0,0,27117607.98,15534987.38,Production:,20795977.38,842930.878,1767562.484,22802234.51,20841483.8,0,0,0,12192763.38,0,49562195.2,0,established:,0,0,0,0,0,0,0,0,646,0,868,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,22,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,101.6173322,41460954112,27670578315,24106160000,300000000,1674349900,166633778.7,169588816.7,1158749248,0,0,1227616773,26229046.64,0,11268570.67,2,51975.22481,15413.05422,3,9020781.992,13790375798,1388207547,11347968251,0,1054200000,0,0,2231429.329,0,0,36898375.14,18022644.32,Production:,24438452.98,817244.1127,1586682.281,21687984.03,22220756.9,7.08E-07,6.45E-06,1.60E-05,41014429.43,29629.63374,20925351.86,0,established:,0,0,0,0,0,0,0,0,2155,2,471,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
