Power_network_size,spatial_cluster_method,temporal_cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,shed-cost,storage-cost,tran-est-cost,CCS-cost,emission_e,num-est-tran,total-str-lev,total-str-cap,num-est-str,total-flow,NG-cost,NG-import-cost,RNG-import-cost,inv-storage,FOM-storage,shed-cost,pipe-est-cost,emission_g,num-est-pipe,total-ng-shed,total-RNG-import,total-flowGE,Production:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
6,GNN,pca,5,4,RM,0.8,0.0,False,True,0,0,7.889100790023804,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN,pca,2,4,RM,0.8,0.0,False,True,0,0,22.796463012695312,32559594747.564682,22707070936.1228,11126120000.0,300000000.0,1283029000.0,173978748.9491349,149704671.74400002,1171559970.0382943,0.0,9597226470.642574,77012044.78709666,0.0,0,6606239.490207264,0,3053.9415980352856,1137.7151777714964,88,5748860.64000011,9852523811.441881,1880446663.9698067,6917877147.4720745,0.0,1054200000.0,0.0,0.0,6893760.5097926855,0,0.0,2239580.3945806986,1472776.7141692932,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3280773.7898269766,8031168.0,14016000.0,14609561.853162441,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,796.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN,pca,365,4,RM,0.8,0.0,False,True,0,0,1566.8973603248596,24241602774.13463,1562377592.6192882,18325375887.067314,0.0,0.0,399211228.5094663,1576670.8281791278,0.0,0.0,1153412054.411457,8177638.870409139,0.0,0,2070233.5748213457,0,382.15701087225494,72.96998133958421,5,377990999.26842886,4353849294.448025,2567620815.81953,732028478.6285,0.0,1054200000.0,0.0,0.0,11429766.42517865,0,0.0,36601423.93142496,882396.4151475815,Production:,74688067.8185416,866506.105163913,1773232.0448509487,22166386.912051965,206586.8485559656,1027130.888925558,9823030.637491405,96000.0,15726644.78708402,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,796.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0-0,pca,5,4,RM,0.8,0.0,False,True,0,0,2.4783730506896973,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0,pca,2,4,RM,0.8,0.0,False,True,0,0,16.22393250465393,32628087508.956284,22772795242.15136,10931240000.0,300000000.0,1278679000.0,174049954.0767847,149704671.74400002,1172314374.1247184,0.0,9886768981.746128,52352634.58443427,0.0,0,6613575.896919278,0,1972.096981559306,859.3640309120321,88,5748860.64000011,9855292266.804922,1880446663.9697986,6920645602.835125,0.0,1054200000.0,0.0,0.0,6886424.103080602,0,0.0,2240733.917648636,1473581.4977050559,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3295014.815356942,8031168.0,14016000.000000002,13937717.980002668,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,767.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0,pca,365,4,RM,0.8,0.0,False,True,0,0,1566.173719882965,24070692841.300186,1575855257.1208448,18140305920.650093,0.0,0.0,407675819.7861399,1503393.6268662808,0.0,0.0,1158500917.489254,8175126.218648529,0.0,0,2354315.8950811755,0,381.82436190138384,73.12548637143189,5,375760822.53413683,4354531663.529248,2567679923.996279,732651739.5329752,0.0,1054200000.0,0.0,0.0,11145684.10491882,0,0.0,36632586.976648726,924404.9973888351,Production:,77260600.63716032,861955.7322841468,1771472.7812520948,22173966.722491484,196985.5381114102,72079.81441785257,10021223.226004533,96000.0,13906782.423356663,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,767.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0.5-0.5,pca,5,4,RM,0.8,0.0,False,True,0,0,2.542179584503174,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0.5-0.5,pca,2,4,RM,0.8,0.0,False,True,0,0,16.985050678253174,33389952183.242977,23948980495.278313,9459200000.0,300000000.0,1225879000.0,123629606.21772489,149704671.74400002,844549641.9075515,0.0,12659029158.781914,31538058.534676876,0.0,0,6298286.558704628,0,1106.801962001513,584.8384003189607,88,5748860.64000011,9440971687.964664,1585103193.8898032,6801668494.074862,0.0,1054200000.0,0.0,0.0,7201713.4412953,0,0.0,2191160.1223318595,1061586.5335305657,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3302465.2435449767,8031168.0,5606400.0,16746758.33740954,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,935.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0.5-0.5,pca,365,4,RM,0.8,0.0,False,True,0,0,1366.9897916316986,22541945692.136772,1568378505.9845932,16613512346.068386,0.0,0.0,406277713.9371781,1519626.9186463382,0.0,0.0,1152406038.910356,8175126.218648531,0.0,0,5634608.749430614,0,381.82436190138384,73.12548637143189,5,389504481.7702359,4360054840.083792,2566006319.3872614,739848520.6965326,0.0,1054200000.0,0.0,0.0,7865391.250569383,0,0.0,36992426.03482659,977160.641068958,Production:,77056933.32290582,868104.3068212105,1653188.177983909,21638115.74046668,199112.54175135476,57300.44782172459,10038960.0,38400.0,14822888.135640128,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,935.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0-0.5,pca,5,4,RM,0.8,0.0,False,True,0,0,2.5680110454559326,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
