,index,bus_num,plant_type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count
0,0,2,hydro,127.76599999999999,40.815768824,0.0,0.0,0.0,0.0,3.0
1,1,8,hydro,8.884,2.215969841,0.0,0.0,0.0,0.0,2.0
2,2,8,ng,283.05499999999995,53.48086387699999,9.084666666666665,4.687806666666667,0.005091,141.51999999999998,3.0
3,3,13,dfo,827.532,302.54741595,16.471,8.01688,0.015962999999999998,412.04,4.0
4,4,13,hydro,13.042,3.5235916840000003,0.0,0.0,0.0,0.0,2.0
5,5,15,hydro,31.941,10.900175974,0.0,0.0,0.0,0.0,3.0
6,6,16,hydro,52.20400000000001,9.911973208,0.0,0.0,0.0,0.0,5.0
7,7,17,ng,260.384,109.58929058999999,7.5305,4.75505,0.0058545,130.2,2.0
8,8,18,wind,60.201,0.0,0.0,0.0,0.0,0.0,1.0
9,9,20,hydro,57.19500000000001,19.544454723999998,0.0,0.0,0.0,0.0,2.0
10,10,20,wind,126.422,0.0,0.0,0.0,0.0,0.0,1.0
11,11,21,hydro,3.593,0.628856306,0.0,0.0,0.0,0.0,1.0
12,12,23,hydro,31.28,8.145186442,0.0,0.0,0.0,0.0,6.0
13,13,24,hydro,17.468,4.042647683,0.0,0.0,0.0,0.0,2.0
14,14,24,wind,13.545,0.0,0.0,0.0,0.0,0.0,1.0
15,15,25,hydro,2.795,0.519055999,0.0,0.0,0.0,0.0,1.0
16,16,27,hydro,23.358,5.799452602,0.0,0.0,0.0,0.0,3.0
17,17,29,hydro,78.356,27.130657784999997,0.0,0.0,0.0,0.0,3.0
18,18,30,hydro,15.39,4.262248297,0.0,0.0,0.0,0.0,3.0
19,19,30,wind,180.603,0.0,0.0,0.0,0.0,0.0,1.0
20,20,31,ng,347.938,112.95674477,6.8454999999999995,4.81689,0.0059325,173.96,2.0
21,21,32,wind,248.329,0.0,0.0,0.0,0.0,0.0,2.0
22,22,34,hydro,10.182,1.517240612,0.0,0.0,0.0,0.0,2.0
23,23,34,ng,103.396,37.72497262,13.314,4.64417,0.0041165,51.7,1.0
24,24,35,hydro,44.418,10.690557206,0.0,0.0,0.0,0.0,4.0
25,25,36,dfo,12.227,4.568045369,16.471,8.01688,0.005179,6.11,1.0
26,26,37,dfo,34.236,11.405440901,32.942,8.01688,0.0062965,17.12,1.0
27,27,37,ng,534.912,159.46555562999998,6.769333333333333,4.82301,0.007029666666666667,267.45000000000005,3.0
28,28,38,hydro,3.061,1.033064596,0.0,0.0,0.0,0.0,1.0
29,29,42,dfo,86.797,18.48743019,16.471,8.01688,0.022598,43.4,1.0
30,30,44,coal,229.6,97.66,6.722,8.01688,0.014119,90.42,1.0
31,31,44,hydro,5.835,1.989605889,0.0,0.0,0.0,0.0,2.0
32,32,45,hydro,4.4,0.650448079,0.0,0.0,0.0,0.0,1.0
33,33,46,hydro,20.278,5.09836509,0.0,0.0,0.0,0.0,3.0
34,34,47,hydro,13.384,5.138821865,0.0,0.0,0.0,0.0,2.0
35,35,49,ng,1023.534,426.0540529,6.385000000000001,4.92399,0.006806666666666667,403.38,3.0
36,36,50,hydro,15.306000000000001,5.882728951,0.0,0.0,0.0,0.0,2.0
37,37,52,nuclear,1226.313,457.1126794,1.0,8.0,0.0019,0.0,1.0
38,38,53,hydro,8.033999999999999,2.018302127,0.0,0.0,0.0,0.0,2.0
39,39,53,wind,52.014,0.0,0.0,0.0,0.0,0.0,1.0
40,40,55,hydro,139.083,42.01129359,0.0,0.0,0.0,0.0,2.0
41,41,57,hydro,7.461,2.133087083,0.0,0.0,0.0,0.0,2.0
42,42,58,hydro,14.348,1.89395176,0.0,0.0,0.0,0.0,1.0
43,43,59,hydro,24.155,4.256608753,0.0,0.0,0.0,0.0,3.0
44,44,60,hydro,5.24,2.176042456,0.0,0.0,0.0,0.0,1.0
45,45,65,hydro,100.72500000000001,38.720791532999996,0.0,0.0,0.0,0.0,2.0
46,46,67,ng,784.4879999999999,186.09093667000002,5.786666666666666,4.84159,0.007279000000000001,356.07,3.0
47,47,68,hydro,5.412,2.466427183,0.0,0.0,0.0,0.0,2.0
48,48,72,dfo,42.603,11.154981577000001,16.471,8.01688,0.0069665000000000005,21.3,2.0
49,49,72,hydro,5.204,1.5194024000000002,0.0,0.0,0.0,0.0,2.0
50,50,72,solar,18.296,0.0,0.0,0.0,0.0,0.0,3.0
51,51,73,hydro,8.664,2.882701812,0.0,0.0,0.0,0.0,3.0
52,52,74,hydro,21.855000000000004,4.287628689,0.0,0.0,0.0,0.0,4.0
53,53,74,solar,13.505,0.0,0.0,0.0,0.0,0.0,3.0
54,54,76,dfo,12.928,2.546352248,16.471,8.01688,0.00621,6.46,1.0
55,55,78,dfo,12.928,3.702004422,16.471,8.01688,0.005361,6.46,1.0
56,56,79,solar,12.415,0.0,0.0,0.0,0.0,0.0,2.0
57,57,80,hydro,14.153,4.193966897,0.0,0.0,0.0,0.0,1.0
58,58,81,wind,26.007,0.0,0.0,0.0,0.0,0.0,1.0
