1,2,3,4,5,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.019308977,0.012042342,0.012042342,0.012042342,0.012042342,0.01
0.040197332,0.030111136,0.030111136,0.030111136,0.030111136,0.020690038
0.073280675,0.074620859,0.074620859,0.074620859,0.074620859,0.041079801
0.09890786,0.111841991,0.111841991,0.111841991,0.111841991,0.066976789
0.104840295,0.105378347,0.105378347,0.105378347,0.105378347,0.062315475
0.08561553,0.069962032,0.069962032,0.069962032,0.069962032,0.036039879
0.053248752,0.033800056,0.033800056,0.033800056,0.033800056,0.026473152
0.01474109,0.01381424,0.01381424,0.01381424,0.01381424,0.01180251
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.032690994,0.044649399,0.044649399,0.044649399,0.044649399,0.051466858
0.236377293,0.36001809,0.36001809,0.36001809,0.36001809,0.420573651
0.320249311,0.568496937,0.568496937,0.568496937,0.568496937,0.628783401
0.334043356,0.539863123,0.539863123,0.539863123,0.539863123,0.564778782
0.316840649,0.474585922,0.474585922,0.474585922,0.474585922,0.493233281
0.352547367,0.489045819,0.489045819,0.489045819,0.489045819,0.499464842
0.449681048,0.572165519,0.572165519,0.572165519,0.572165519,0.576008536
0.513246187,0.611017751,0.611017751,0.611017751,0.611017751,0.63056313
0.178872406,0.306941174,0.306941174,0.306941174,0.306941174,0.362252078
0,0.019452518,0.019452518,0.019452518,0.019452518,0.029822532
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.029201427,0.043731271,0.043731271,0.043731271,0.043731271,0.032509069
0.238497115,0.357104881,0.357104881,0.357104881,0.357104881,0.248231531
0.417476785,0.512252851,0.512252851,0.512252851,0.512252851,0.37656718
0.415484227,0.459631296,0.459631296,0.459631296,0.459631296,0.468892429
0.393781604,0.441533853,0.441533853,0.441533853,0.441533853,0.474412815
0.439504535,0.445738786,0.445738786,0.445738786,0.445738786,0.480277665
0.48231381,0.506553442,0.506553442,0.506553442,0.506553442,0.532969377
0.410255704,0.545517097,0.545517097,0.545517097,0.545517097,0.584826483
0.137063131,0.26316571,0.26316571,0.26316571,0.26316571,0.302548298
0,0.01478049,0.01478049,0.01478049,0.01478049,0.023046461
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.022291359,0.019076815,0.019076815,0.019076815,0.019076815,0.026425675
0.203258179,0.167782111,0.167782111,0.167782111,0.167782111,0.197356167
0.344618088,0.271863585,0.271863585,0.271863585,0.271863585,0.328506603
0.322107944,0.303849617,0.303849617,0.303849617,0.303849617,0.299249209
0.272423732,0.299364222,0.299364222,0.299364222,0.299364222,0.302742766
0.296777815,0.317943341,0.317943341,0.317943341,0.317943341,0.361163014
0.369304973,0.427332221,0.427332221,0.427332221,0.427332221,0.499973375
0.427589187,0.537669858,0.537669858,0.537669858,0.537669858,0.575387085
0.167416786,0.285811157,0.285811157,0.285811157,0.285811157,0.327462777
0,0.018040842,0.018040842,0.018040842,0.018040842,0.026578397
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.01,0.01,0.01,0.01,0
0.026549313,0.039261249,0.039261249,0.039261249,0.039261249,0.030619276
0.055233426,0.084283289,0.084283289,0.084283289,0.084283289,0.062962072
0.080033119,0.112879517,0.112879517,0.112879517,0.112879517,0.113064483
0.112070844,0.117029831,0.117029831,0.117029831,0.117029831,0.14692319
0.15161133,0.115231531,0.115231531,0.115231531,0.115231531,0.123876286
0.180574544,0.087980023,0.087980023,0.087980023,0.087980023,0.086588341
0.139359074,0.048146899,0.048146899,0.048146899,0.048146899,0.045796785
0.038376292,0.020923419,0.020923419,0.020923419,0.020923419,0.013964827
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.021902324,0.01660596,0.01660596,0.01660596,0.01660596,0.030162629
0.036849103,0.054026558,0.054026558,0.054026558,0.054026558,0.04689483
0.063774176,0.108624519,0.108624519,0.108624519,0.108624519,0.120725529
0.075072479,0.197891379,0.197891379,0.197891379,0.197891379,0.219436542
0.106681567,0.294930479,0.294930479,0.294930479,0.294930479,0.328556267
0.181483662,0.396157346,0.396157346,0.396157346,0.396157346,0.474393908
0.359272043,0.410287975,0.410287975,0.410287975,0.410287975,0.522029093
0.158718642,0.207355076,0.207355076,0.207355076,0.207355076,0.327493028
0,0.016183921,0.016183921,0.016183921,0.016183921,0.029053593
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.043165534,0.049757665,0.049757665,0.049757665,0.049757665,0.058146025
0.290222778,0.383384463,0.383384463,0.383384463,0.383384463,0.42494305
0.451495143,0.59645902,0.59645902,0.59645902,0.59645902,0.586737482
0.447632621,0.52497593,0.52497593,0.52497593,0.52497593,0.509553618
0.41538258,0.46708951,0.46708951,0.46708951,0.46708951,0.456215187
0.45716338,0.47893881,0.47893881,0.47893881,0.47893881,0.472746839
0.552587821,0.554307206,0.554307206,0.554307206,0.554307206,0.550181879
0.555203867,0.59021369,0.59021369,0.59021369,0.59021369,0.499815002
0.210719237,0.3034108,0.3034108,0.3034108,0.3034108,0.260861955
0.01,0.022041619,0.022041619,0.022041619,0.022041619,0.025235703
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.017256651,0.011701753,0.011701753,0.011701753,0.011701753,0.014506012
0.0256418,0.023826289,0.023826289,0.023826289,0.023826289,0.020976553
0.044468801,0.043507112,0.043507112,0.043507112,0.043507112,0.034718195
0.063578052,0.054651804,0.054651804,0.054651804,0.054651804,0.036898587
0.055729587,0.050469683,0.050469683,0.050469683,0.050469683,0.043460208
0.036845845,0.05505713,0.05505713,0.05505713,0.05505713,0.062395206
