Node,Cluster
0.0,18
2.0,4
5.0,1
8.0,4
11.0,16
14.0,18
17.0,18
19.0,5
22.0,5
24.0,5
26.0,16
28.0,5
30.0,4
33.0,18
35.0,18
37.0,16
38.0,12
40.0,13
41.0,1
44.0,11
47.0,7
49.0,11
51.0,1
53.0,13
55.0,15
58.0,7
60.0,7
63.0,15
66.0,1
68.0,2
70.0,15
72.0,8
73.0,8
75.0,13
78.0,2
80.0,12
83.0,8
84.0,13
85.0,15
87.0,8
89.0,19
92.0,8
94.0,12
96.0,9
98.0,9
99.0,1
102.0,6
104.0,6
106.0,11
108.0,11
111.0,11
113.0,9
114.0,9
117.0,11
119.0,3
120.0,19
122.0,3
124.0,14
127.0,14
130.0,9
133.0,3
135.0,3
137.0,12
139.0,3
142.0,9
144.0,3
147.0,19
148.0,14
150.0,14
152.0,3
154.0,14
155.0,0
157.0,0
159.0,17
160.0,17
161.0,17
162.0,17
164.0,0
167.0,6
170.0,17
172.0,3
175.0,10
176.0,0
177.0,17
179.0,17
181.0,6
183.0,17
186.0,10
