Node,Cluster
0,7
1,7
2,20
3,20
4,20
5,14
6,14
7,14
8,20
9,20
10,20
11,15
12,15
13,15
14,15
15,15
16,15
17,12
18,12
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,14
27,14
28,6
29,6
30,20
31,20
32,20
33,15
34,15
35,9
36,9
37,18
38,0
39,0
40,2
41,2
42,2
43,2
44,21
45,21
46,21
47,12
48,12
49,2
50,2
51,2
52,2
53,8
54,8
55,8
56,8
57,8
58,12
59,12
60,2
61,2
62,2
63,15
64,15
65,15
66,24
67,24
68,18
69,18
70,17
71,17
72,18
73,0
74,0
75,14
76,14
77,14
78,5
79,5
80,8
81,8
82,8
83,16
84,0
85,9
86,9
87,6
88,6
89,23
90,23
91,23
92,9
93,9
94,8
95,8
96,4
97,4
98,17
99,17
100,17
101,17
102,13
103,13
104,5
105,5
106,11
107,11
108,11
109,11
110,11
111,11
112,11
113,17
114,19
115,19
116,19
117,11
118,11
119,11
120,23
121,23
122,4
123,4
124,1
125,1
126,1
127,1
128,1
129,1
130,5
131,5
132,5
133,19
134,19
135,24
136,24
137,1
138,1
139,24
140,24
141,24
142,4
143,4
144,16
145,16
146,16
147,23
148,1
149,1
150,7
151,7
152,19
153,19
154,7
155,10
156,10
157,10
158,10
159,13
160,13
161,13
162,10
163,10
164,10
165,10
166,10
167,21
168,21
169,21
170,11
171,11
172,21
173,21
174,21
175,16
176,10
177,22
178,22
179,22
180,22
181,13
182,13
183,22
184,22
185,22
186,22
187,22
