Node,Cluster
0,0
1,0
2,0
3,0
4,0
5,2
6,2
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,2
27,2
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,2
42,2
43,2
44,2
45,2
46,2
47,5
48,5
49,2
50,2
51,2
52,2
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,2
61,2
62,2
63,5
64,5
65,5
66,2
67,2
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,1
76,1
77,1
78,5
79,5
80,1
81,1
82,1
83,5
84,5
85,5
86,5
87,5
88,5
89,1
90,1
91,1
92,5
93,5
94,1
95,1
96,4
97,4
98,2
99,2
100,2
101,2
102,1
103,1
104,1
105,1
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,4
114,4
115,4
116,4
117,2
118,2
119,2
120,1
121,1
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,1
138,1
139,1
140,1
141,1
142,4
143,4
144,4
145,4
146,4
147,1
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,1
173,1
174,1
175,1
176,3
177,3
178,3
179,3
180,3
181,1
182,1
183,3
184,3
185,3
186,3
187,3
