Node,Cluster
0,4
1,4
2,4
3,4
4,4
5,5
6,5
7,5
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,3
39,3
40,3
41,5
42,5
43,5
44,3
45,3
46,3
47,2
48,2
49,5
50,5
51,5
52,5
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,5
67,5
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,2
84,2
85,2
86,2
87,2
88,2
89,3
90,3
91,3
92,2
93,2
94,3
95,3
96,0
97,0
98,5
99,5
100,5
101,5
102,3
103,3
104,3
105,3
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,0
114,5
115,5
116,5
117,5
118,5
119,5
120,3
121,3
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,5
136,5
137,3
138,3
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,3
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,3
168,3
169,3
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,3
182,3
183,1
184,1
185,1
186,1
187,1
