Node,Cluster
0,5
1,5
2,5
3,5
4,5
5,3
6,3
7,3
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,3
27,3
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,4
48,4
49,3
50,3
51,3
52,3
53,4
54,4
55,4
56,4
57,4
58,5
59,5
60,3
61,3
62,3
63,4
64,4
65,4
66,3
67,3
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,3
76,3
77,3
78,4
79,4
80,3
81,3
82,3
83,4
84,4
85,4
86,4
87,4
88,4
89,0
90,0
91,0
92,4
93,4
94,0
95,0
96,1
97,1
98,1
99,3
100,3
101,3
102,0
103,0
104,0
105,0
106,3
107,3
108,1
109,1
110,1
111,3
112,3
113,1
114,1
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,0
173,0
174,0
175,0
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,0
187,0
