Node,Cluster
0,3
1,3
2,3
3,3
4,3
5,0
6,0
7,0
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,0
27,0
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,1
39,1
40,4
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,4
56,4
57,4
58,0
59,0
60,0
61,0
62,0
63,4
64,4
65,4
66,0
67,0
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,1
81,1
82,1
83,4
84,4
85,4
86,4
87,4
88,4
89,1
90,1
91,1
92,4
93,4
94,1
95,1
96,2
97,2
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,2
107,2
108,3
109,3
110,3
111,0
112,0
113,2
114,2
115,2
116,2
117,1
118,1
119,1
120,1
121,1
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,0
131,0
132,0
133,2
134,2
135,2
136,2
137,1
138,1
139,1
140,1
141,1
142,2
143,2
144,2
145,2
146,2
147,1
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,1
173,1
174,1
175,1
176,5
177,5
178,5
179,5
180,5
181,1
182,1
183,5
184,5
185,5
186,5
187,5
