Day of Year,Date,Weight
0,2050-01-01,5
3,2050-01-04,4
9,2050-01-10,7
13,2050-01-14,5
23,2050-01-24,5
24,2050-01-25,5
29,2050-01-30,4
32,2050-02-02,5
34,2050-02-04,6
36,2050-02-06,10
54,2050-02-24,6
58,2050-02-28,3
62,2050-03-04,2
66,2050-03-08,1
70,2050-03-12,4
77,2050-03-19,3
79,2050-03-21,4
80,2050-03-22,2
83,2050-03-25,3
92,2050-04-03,4
99,2050-04-10,8
108,2050-04-19,2
110,2050-04-21,3
112,2050-04-23,1
117,2050-04-28,7
128,2050-05-09,10
131,2050-05-12,2
136,2050-05-17,7
137,2050-05-18,4
138,2050-05-19,5
139,2050-05-20,4
143,2050-05-24,4
161,2050-06-11,3
163,2050-06-13,2
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
175,2050-06-25,3
185,2050-07-05,2
186,2050-07-06,5
187,2050-07-07,2
188,2050-07-08,2
191,2050-07-11,3
196,2050-07-16,3
198,2050-07-18,2
199,2050-07-19,1
200,2050-07-20,4
203,2050-07-23,2
204,2050-07-24,6
207,2050-07-27,5
215,2050-08-04,1
218,2050-08-07,1
222,2050-08-11,4
224,2050-08-13,2
225,2050-08-14,4
230,2050-08-19,4
233,2050-08-22,2
234,2050-08-23,4
235,2050-08-24,4
236,2050-08-25,1
240,2050-08-29,3
251,2050-09-09,1
259,2050-09-17,4
261,2050-09-19,5
262,2050-09-20,5
263,2050-09-21,6
264,2050-09-22,5
266,2050-09-24,7
270,2050-09-28,8
272,2050-09-30,5
285,2050-10-13,7
287,2050-10-15,4
288,2050-10-16,8
291,2050-10-19,10
293,2050-10-21,5
297,2050-10-25,1
305,2050-11-02,4
306,2050-11-03,2
307,2050-11-04,2
316,2050-11-13,2
317,2050-11-14,2
320,2050-11-17,5
321,2050-11-18,2
322,2050-11-19,2
330,2050-11-27,4
331,2050-11-28,9
338,2050-12-05,8
339,2050-12-06,9
345,2050-12-12,3
356,2050-12-23,5
360,2050-12-27,1
363,2050-12-30,1
