Day of Year,Date,Weight
21,2050-01-22,5
29,2050-01-30,8
36,2050-02-06,21
69,2050-03-11,8
72,2050-03-14,23
85,2050-03-27,8
91,2050-04-02,9
99,2050-04-10,15
110,2050-04-21,6
117,2050-04-28,10
128,2050-05-09,16
139,2050-05-20,6
155,2050-06-05,8
184,2050-07-04,5
186,2050-07-06,20
194,2050-07-14,7
196,2050-07-16,7
205,2050-07-25,6
207,2050-07-27,8
237,2050-08-26,6
239,2050-08-28,10
255,2050-09-13,10
266,2050-09-24,12
267,2050-09-25,12
269,2050-09-27,19
273,2050-10-01,7
277,2050-10-05,12
287,2050-10-15,5
322,2050-11-19,7
325,2050-11-22,20
330,2050-11-27,6
331,2050-11-28,12
332,2050-11-29,11
345,2050-12-12,5
354,2050-12-21,15
