Day of Year,Date,Weight
9,2050-01-10,26
15,2050-01-16,4
45,2050-02-15,16
49,2050-02-19,6
70,2050-03-12,8
92,2050-04-03,18
104,2050-04-15,6
115,2050-04-26,12
125,2050-05-06,7
127,2050-05-08,10
130,2050-05-11,9
151,2050-06-01,12
161,2050-06-11,10
165,2050-06-15,14
166,2050-06-16,12
186,2050-07-06,10
189,2050-07-09,5
190,2050-07-10,13
199,2050-07-19,2
216,2050-08-05,2
219,2050-08-08,9
221,2050-08-10,8
230,2050-08-19,3
235,2050-08-24,15
259,2050-09-17,1
268,2050-09-26,17
280,2050-10-08,4
288,2050-10-16,10
292,2050-10-20,17
299,2050-10-27,11
300,2050-10-28,13
328,2050-11-25,7
345,2050-12-12,12
349,2050-12-16,15
353,2050-12-20,21
