Day of Year,Date,Weight
4,2050-01-05,3
7,2050-01-08,6
9,2050-01-10,16
11,2050-01-12,6
12,2050-01-13,7
13,2050-01-14,6
14,2050-01-15,2
15,2050-01-16,2
18,2050-01-19,1
27,2050-01-28,6
31,2050-02-01,6
32,2050-02-02,6
34,2050-02-04,4
45,2050-02-15,11
56,2050-02-26,4
62,2050-03-04,3
84,2050-03-26,9
94,2050-04-05,13
97,2050-04-08,4
99,2050-04-10,7
105,2050-04-16,3
109,2050-04-20,10
115,2050-04-26,4
124,2050-05-05,7
125,2050-05-06,8
134,2050-05-15,11
141,2050-05-22,5
162,2050-06-12,8
165,2050-06-15,4
167,2050-06-17,4
171,2050-06-21,1
172,2050-06-22,2
173,2050-06-23,1
175,2050-06-25,3
180,2050-06-30,1
181,2050-07-01,5
196,2050-07-16,3
197,2050-07-17,2
199,2050-07-19,1
200,2050-07-20,4
203,2050-07-23,2
213,2050-08-02,5
214,2050-08-03,1
217,2050-08-06,2
218,2050-08-07,3
221,2050-08-10,1
225,2050-08-14,7
229,2050-08-18,6
234,2050-08-23,10
237,2050-08-26,4
241,2050-08-30,6
245,2050-09-03,6
248,2050-09-06,1
250,2050-09-08,3
254,2050-09-12,9
257,2050-09-15,7
258,2050-09-16,1
259,2050-09-17,7
270,2050-09-28,11
284,2050-10-12,11
293,2050-10-21,5
296,2050-10-24,9
307,2050-11-04,6
308,2050-11-05,4
309,2050-11-06,4
320,2050-11-17,12
335,2050-12-02,5
354,2050-12-21,8
